symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
4.75,21.0,0.0,7.0,17.0,1.0
6.5,30.25,0.0,7.0,20.0,5.0
0.25,30.25,0.0,2.75,17.75,10.0
0.25,17.0,0.0,1.5,11.5,4.0
0.0,20.25,0.0,0.5,19.25,4.0
0.0,12.0,0.25,0.5,8.5,0.0
0.25,13.5,0.0,1.5,9.5,6.0
0.25,16.75,0.25,1.5,12.25,2.0
4.75,35.0,0.0,8.25,29.75,9.0
0.25,32.75,0.0,3.0,28.75,0.0
2.75,29.75,0.0,4.0,25.0,18.0
6.5,91.25,0.25,20.25,73.75,34.0
8.0,42.75,0.25,11.75,32.25,0.0
0.25,28.75,0.0,5.5,21.75,10.0
0.5,21.25,0.0,3.25,20.0,13.0
0.5,37.25,0.25,3.25,29.75,9.0
0.5,40.75,0.25,6.0,28.0,7.0
0.25,20.75,0.25,0.5,19.25,3.0
2.5,22.0,0.0,5.0,15.75,4.0
0.25,13.0,0.0,2.5,9.75,6.0
0.25,26.5,0.25,1.0,13.5,13.0
0.25,23.5,0.0,4.5,18.0,14.0
0.25,26.5,2.0,0.25,20.0,1.0
2.0,21.5,0.0,4.75,14.75,4.0
2.25,18.75,0.0,2.25,14.5,7.0
0.25,28.5,0.0,2.75,17.75,6.0
0.25,21.25,0.0,0.5,13.5,11.0
2.5,26.25,0.25,4.25,16.0,19.0
2.5,30.75,0.0,2.5,18.5,7.0
2.5,26.5,0.0,2.75,14.0,3.0
0.5,67.25,0.25,15.25,58.25,9.0
0.5,34.25,0.0,3.75,23.0,14.0
2.0,31.75,0.0,8.75,25.5,0.0
4.5,39.25,0.0,5.25,27.75,1.0
2.25,29.25,0.25,6.75,20.75,6.0
0.5,37.75,0.0,3.5,27.0,2.0
0.5,20.25,0.25,2.5,15.75,6.0
2.5,47.25,0.25,12.5,46.25,5.0
2.0,18.75,0.25,6.25,15.25,5.0
1.25,40.25,0.5,10.5,31.0,1.0
1.0,45.25,0.0,7.5,39.75,1.0
8.75,47.0,0.0,10.75,28.75,2.0
1.0,69.25,0.75,3.75,43.5,10.0
2.5,45.5,0.5,7.75,34.25,5.0
2.25,65.0,0.0,5.0,48.25,1.0
0.25,45.75,0.0,4.5,34.25,0.0
3.0,50.75,0.0,5.25,34.0,5.0
0.75,41.5,0.25,6.25,28.0,0.0
0.25,29.75,0.0,3.25,23.5,9.0
0.75,35.0,0.5,1.5,29.25,1.0
4.0,37.5,0.5,5.0,24.5,0.0
6.5,54.25,0.0,9.25,37.75,1.0
0.5,54.0,0.0,8.5,34.5,6.0
0.75,46.25,0.0,9.0,35.0,1.0
0.25,36.75,0.0,3.25,18.25,4.0
0.75,49.0,0.0,6.5,31.25,3.0
2.75,44.75,0.0,3.0,28.0,3.0
0.5,34.75,0.0,2.0,21.0,11.0
2.75,32.75,0.0,5.25,24.75,4.0
5.75,38.0,0.0,7.75,35.75,5.0
1.5,48.75,0.0,4.5,32.0,1.0
0.5,31.5,0.0,7.25,26.0,3.0
3.75,53.5,0.0,10.25,45.0,6.0
0.5,52.75,0.0,7.75,38.25,8.0
4.0,68.5,0.5,9.5,58.75,8.0
4.0,54.0,0.0,16.5,46.5,10.0
0.5,31.0,0.5,6.75,25.5,14.0
2.75,38.25,0.0,9.5,27.75,9.0
4.5,37.75,0.0,10.75,31.0,11.0
0.0,39.75,0.0,2.75,28.0,2.0
1.25,38.75,0.0,4.75,22.75,6.0
0.5,36.25,0.0,3.5,27.5,14.0
0.5,35.0,0.5,4.0,25.0,2.0
2.75,50.25,0.5,7.25,36.25,9.0
3.5,37.5,0.5,4.25,32.5,10.0
0.25,55.5,0.0,2.5,31.75,4.0
0.0,53.25,0.0,5.5,35.75,10.0
0.25,51.75,0.0,5.5,30.25,7.0
1.25,64.0,0.0,6.25,45.75,4.0
3.5,52.75,0.0,3.5,34.75,13.0
2.75,32.5,0.0,8.25,23.0,4.0
4.25,43.0,0.5,6.5,26.25,6.0
0.75,37.5,0.25,1.25,25.75,10.0
0.25,43.0,0.0,0.75,26.5,8.0
5.25,62.0,0.25,8.25,40.25,0.0
2.0,21.25,0.5,3.5,14.75,5.0
2.0,36.0,0.25,3.25,22.0,8.0
0.25,44.0,0.0,3.0,31.0,3.0
1.25,28.25,0.0,4.5,20.75,6.0
0.25,31.0,0.0,2.75,20.25,1.0
0.5,22.0,0.0,4.25,14.75,4.0
3.0,42.25,0.0,9.25,27.0,1.0
3.25,47.0,0.0,6.5,30.25,0.0
